nuevas,dosis_total_diff,primera_dosis_diff,segunda_dosis_diff,refuerzo_diff,(MSP) UCI Porcentaje Ocupadas,(RPIS) UCI Porcentaje Ocupadas,(RPC) UCI Porcentaje Ocupadas
306,4996.0,3683.0,1313.0,0.0,40.0,41.0,13.0
29,1612.0,996.0,616.0,0.0,36.0,47.0,13.0
113,44861.0,29617.0,15244.0,0.0,31.0,50.0,12.0
250,44529.0,32815.0,11714.0,0.0,32.0,48.0,12.0
229,46624.0,33598.0,13026.0,0.0,36.0,48.0,12.0
153,42869.0,33738.0,9131.0,0.0,35.0,52.0,19.0
205,1949.0,981.0,967.0,1.0,29.0,44.0,12.0
71,984.0,453.0,531.0,0.0,33.0,48.0,13.0
75,788.0,317.0,471.0,0.0,30.0,45.0,19.0
27,43017.0,28490.0,14527.0,0.0,29.0,45.0,19.0
631,46702.0,35291.0,11411.0,0.0,27.0,42.0,20.0
324,43135.0,33905.0,9230.0,0.0,32.0,42.0,17.0
126,47976.0,35268.0,12708.0,0.0,36.0,42.0,15.0
150,47276.0,30248.0,17028.0,0.0,39.0,41.0,15.0
255,8842.0,6373.0,2469.0,0.0,37.0,40.0,12.0
119,4883.0,3717.0,1166.0,0.0,36.0,40.0,12.0
55,68306.0,49211.0,17754.0,1341.0,34.0,46.0,17.0
356,93280.0,71719.0,18751.0,2810.0,34.0,37.0,17.0
569,120868.0,94859.0,23946.0,2063.0,32.0,43.0,16.0
386,137111.0,109934.0,23545.0,3632.0,28.0,49.0,17.0
269,129483.0,96979.0,26303.0,6201.0,30.0,47.0,17.0
295,16500.0,9838.0,4776.0,1886.0,31.0,49.0,19.0
26,5927.0,3627.0,1462.0,838.0,31.0,47.0,20.0
27,112324.0,82473.0,25836.0,4015.0,34.0,51.0,18.0
200,127721.0,90011.0,28972.0,8738.0,33.0,47.0,18.0
308,128536.0,89977.0,26702.0,11857.0,35.0,58.0,18.0
263,128127.0,90964.0,28967.0,8196.0,32.0,57.0,17.0
501,110301.0,76710.0,27714.0,5877.0,34.0,56.0,17.0
271,8010.0,3113.0,4020.0,877.0,36.0,56.0,16.0
60,3095.0,1026.0,1453.0,616.0,35.0,56.0,15.0
913,2677.0,1081.0,1076.0,520.0,37.0,55.0,16.0
48,2661.0,1174.0,856.0,631.0,38.0,54.0,15.0
55,3807.0,1543.0,1380.0,884.0,46.0,59.0,17.0
315,86542.0,51448.0,25802.0,9292.0,50.0,59.0,18.0
386,0.0,0.0,0.0,0.0,51.0,58.0,18.0
411,0.0,0.0,0.0,0.0,47.0,60.0,18.0
96,102075.0,58111.0,27039.0,16925.0,45.0,58.0,16.0
78,92067.0,51504.0,26451.0,14112.0,45.0,62.0,17.0
407,102079.0,56635.0,32190.0,13254.0,42.0,46.0,16.0
329,114171.0,61298.0,37358.0,15515.0,44.0,61.0,15.0
387,105751.0,53373.0,38825.0,13553.0,45.0,47.0,17.0
596,94289.0,48222.0,31743.0,14324.0,49.0,59.0,15.0
419,37250.0,25801.0,7953.0,3496.0,45.0,60.0,15.0
94,27877.0,19066.0,5292.0,3519.0,44.0,56.0,15.0
53,102423.0,49090.0,36340.0,16993.0,41.0,60.0,14.0
547,121402.0,58582.0,45403.0,17417.0,41.0,64.0,12.0
391,134487.0,54949.0,54729.0,24809.0,42.0,65.0,13.0
572,130337.0,47411.0,61556.0,21370.0,45.0,73.0,15.0
492,133086.0,53657.0,62562.0,16867.0,45.0,66.0,17.0
364,58488.0,26772.0,24284.0,7432.0,47.0,65.0,17.0
142,39585.0,17434.0,16875.0,5276.0,48.0,68.0,16.0
79,128675.0,42303.0,65797.0,20575.0,50.0,67.0,22.0
453,140556.0,49900.0,71603.0,19053.0,47.0,67.0,20.0
513,154982.0,51464.0,87427.0,16091.0,50.0,67.0,20.0
432,150409.0,49218.0,86288.0,14903.0,55.0,65.0,21.0
307,147245.0,44428.0,85040.0,17777.0,55.0,66.0,19.0
478,40754.0,15885.0,16637.0,8232.0,54.0,67.0,18.0
185,20929.0,7217.0,8983.0,4729.0,47.0,66.0,18.0
70,112959.0,30081.0,60501.0,22377.0,51.0,57.0,19.0
463,113323.0,36006.0,55159.0,22158.0,56.0,72.0,21.0
355,211563.0,69888.0,111468.0,18617.0,56.0,69.0,19.0
413,113909.0,27818.0,53537.0,44144.0,55.0,66.0,20.0
489,98764.0,22059.0,48106.0,28599.0,55.0,68.0,21.0
584,32375.0,6710.0,13488.0,12177.0,52.0,67.0,23.0
175,17163.0,3489.0,6753.0,6921.0,50.0,68.0,21.0
107,77690.0,16962.0,36632.0,24096.0,55.0,69.0,20.0
670,97495.0,16834.0,46667.0,33994.0,61.0,71.0,19.0
739,93951.0,14694.0,52918.0,26339.0,55.0,70.0,22.0
942,109601.0,19783.0,64487.0,25331.0,54.0,69.0,22.0
623,114158.0,22225.0,67498.0,24435.0,53.0,74.0,19.0
760,52754.0,11066.0,29434.0,12254.0,54.0,74.0,21.0
267,31764.0,6456.0,16342.0,8966.0,53.0,76.0,22.0
131,111430.0,17088.0,70415.0,23927.0,55.0,76.0,22.0
588,102176.0,17897.0,63582.0,20697.0,55.0,74.0,25.0
581,115950.0,21738.0,70351.0,23861.0,52.0,76.0,22.0
657,0.0,0.0,0.0,0.0,51.0,75.0,22.0
